Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Val_F1,Val_AUC,Latency_ms_mean_b1,Latency_ms_p50_b1,Latency_ms_p90_b1,Latency_ms_p95_b1,Throughput_ips_b32,Params_M,MACs,FLOPs
1,0.8759214521750159,0.6304640964321468,69.9556162512803,77.21691678035471,63.93648027663621,91.86577439753958,,,,,,,,
2,0.5058461476279341,0.5376909530681112,81.42710822806418,80.76398362892223,63.93648027663621,91.86577439753958,,,,,,,,
3,0.390635399552791,0.4992707229178885,85.62649368385114,81.9918144611187,63.93648027663621,91.86577439753958,,,,,,,,
4,0.3141233749363733,0.537226193624994,88.56264936838511,81.44611186903138,63.93648027663621,91.86577439753958,,,,,,,,
5,0.2325481429858052,0.5717415071052053,92.21577330146808,80.0818553888131,63.93648027663621,91.86577439753958,,,,,,,,
6,0.1783145351092452,0.5971538152383722,94.50324342779103,80.0818553888131,63.93648027663621,91.86577439753958,,,,,,,,
7,0.1161475971381625,0.6440029818078746,96.55172413793105,80.35470668485675,63.93648027663621,91.86577439753958,,,,,,,,
8,0.1289219735392733,0.6777770201797071,96.31273472174804,79.26330150068213,63.93648027663621,91.86577439753958,,,,,,,,
9,0.1012057719003085,0.7354234184907831,97.06384431546604,79.53615279672579,63.93648027663621,91.86577439753958,,,,,,,,
10,0.085282163573024,0.752524178961049,97.26869238648004,80.0818553888131,63.93648027663621,91.86577439753958,,,,,,,,
11,0.0849845901830121,0.7981636627860691,97.13212700580402,79.80900409276944,63.93648027663621,91.86577439753958,,,,,,,,
12,0.0742972626188851,0.7623811273471169,97.54182314783202,80.76398362892223,63.93648027663621,91.86577439753958,,,,,,,,
13,0.06328015024875,0.7959402553413225,97.91737794469104,80.35470668485675,63.93648027663621,91.86577439753958,,,,,,,,
14,0.0609214751849598,0.7873378149841143,98.01980198019804,80.90040927694406,63.93648027663621,91.86577439753958,,,,,,,,
15,0.0538440894274769,0.8315871915091639,98.12222601570502,78.1718963165075,63.93648027663621,91.86577439753958,,,,,,,,
16,0.0494858897949123,0.8321137441241223,98.22465005121202,79.67257844474761,63.93648027663621,91.86577439753958,,,,,,,,
17,0.0580171316421752,0.87725063899289,98.05394332536702,78.58117326057298,63.93648027663621,91.86577439753958,,,,,,,,
18,0.0540214073515254,0.893790092157281,98.156367360874,81.17326057298772,63.93648027663621,91.86577439753958,,,,,,,,
19,0.0463082148863063,0.8729386355565942,98.22465005121202,79.1268758526603,63.93648027663621,91.86577439753958,,,,,,,,
20,0.0470590402027997,0.8932004182235055,98.22465005121202,80.90040927694406,63.93648027663621,91.86577439753958,,,,,,,,
final,,,,80.90040927694406,,,11.1979,11.1423,11.6878,11.7966,1400.74,4.014,413871424.0,827742848.0
